UID,Hotel,Overall Rating,Overall Polarity,Latitude,Longitude
6,Banyan Tree,4.5,0.927883,13.723762,100.5375352
10,Lancaster,5,0.91832,13.748743,100.5651593
11,Marriott Marquis,4.5,0.900646,13.7304211,100.5633926
17,Riva Surya,4.5,0.896703,13.7620557,100.490842
20,W,4.5,0.887167,13.7221885,100.5264121
1,Adelphi Suites,4.5,0.886863,13.738969,100.5535832
14,Pullman,4.5,0.879672,13.726083,100.5236698
4,Anantara,4.5,0.877291,13.7409309,100.5379474
18,Royal Orchid Sheraton,4.5,0.86532,13.729053,100.5113853
2,Amara,4.5,0.859293,13.7288889,100.5253113
